category	field_key	display_name	value	unit	source_api	source_detail	scan_scope	ms_level	representative_scan	raw_label_or_line	parse_status	confidence	matches_reference	notes
file_run_sample_instrument	file.path	File path	/Users/searleb/Downloads/D_2020_1005_BCS_mohsen_gel_frac_gluc_dda_03.raw		input argument						raw	high		
file_run_sample_instrument	file.name	File name	D_2020_1005_BCS_mohsen_gel_frac_gluc_dda_03.raw		input argument						raw	high		
file_run_sample_instrument	file.size_bytes	File size	317154901	bytes	System.IO.FileInfo.Length						raw	high		
file_run_sample_instrument	raw.is_open	RawFileReader opened file	True		IRawDataPlus.IsOpen						raw	high		
file_run_sample_instrument	raw.is_error	RawFileReader error state	False		IRawDataPlus.IsError						raw	high		
file_run_sample_instrument	raw.file_error	RawFileReader file error	ThermoFisher.CommonCore.RawFileReader.Facade.MemoryMappingRawFileLoader		IRawDataPlus.FileError						raw	high		
file_run_sample_instrument	raw.in_acquisition	RAW still in acquisition	False		IRawDataPlus.InAcquisition						raw	high		
file_run_sample_instrument	raw.creator_id	Creator ID	Thermo		IRawDataPlus.CreatorId						raw	high		
file_run_sample_instrument	raw.creation_date	Creation date	10/13/2020 20:50:33		IRawDataPlus.CreationDate						raw	high		
file_run_sample_instrument	raw.instrument_count	Instrument count	1		IRawDataPlus.InstrumentCount						raw	high		
file_run_sample_instrument	file_header.CheckSum	FileHeader CheckSum	651897568		IRawDataPlus.FileHeader	CheckSum					raw	high		
file_run_sample_instrument	file_header.CreationDate	FileHeader CreationDate	10/13/2020 20:50:33		IRawDataPlus.FileHeader	CreationDate					raw	high		
file_run_sample_instrument	file_header.FileType	FileHeader FileType	RawFile		IRawDataPlus.FileHeader	FileType					raw	high		
file_run_sample_instrument	file_header.ModifiedDate	FileHeader ModifiedDate	10/13/2020 20:15:57		IRawDataPlus.FileHeader	ModifiedDate					raw	high		
file_run_sample_instrument	file_header.NumberOfTimesCalibrated	FileHeader NumberOfTimesCalibrated	0		IRawDataPlus.FileHeader	NumberOfTimesCalibrated					raw	high		
file_run_sample_instrument	file_header.NumberOfTimesModified	FileHeader NumberOfTimesModified	2		IRawDataPlus.FileHeader	NumberOfTimesModified					raw	high		
file_run_sample_instrument	file_header.Revision	FileHeader Revision	66		IRawDataPlus.FileHeader	Revision					raw	high		
file_run_sample_instrument	file_header.WhoCreatedId	FileHeader WhoCreatedId	Thermo		IRawDataPlus.FileHeader	WhoCreatedId					raw	high		
file_run_sample_instrument	file_header.WhoCreatedLogon	FileHeader WhoCreatedLogon	Xcalibur_System		IRawDataPlus.FileHeader	WhoCreatedLogon					raw	high		
file_run_sample_instrument	file_header.WhoModifiedId	FileHeader WhoModifiedId	Xcalibur_System		IRawDataPlus.FileHeader	WhoModifiedId					raw	high		
file_run_sample_instrument	file_header.WhoModifiedLogon	FileHeader WhoModifiedLogon	Xcalibur_System		IRawDataPlus.FileHeader	WhoModifiedLogon					raw	high		
file_run_sample_instrument	sample.BarcodeStatus	SampleInformation BarcodeStatus	NotRead		IRawDataPlus.SampleInformation	BarcodeStatus					raw	high		
file_run_sample_instrument	sample.Comment	SampleInformation Comment	mohsen		IRawDataPlus.SampleInformation	Comment					raw	high		
file_run_sample_instrument	sample.DilutionFactor	SampleInformation DilutionFactor	1		IRawDataPlus.SampleInformation	DilutionFactor					raw	high		
file_run_sample_instrument	sample.InjectionVolume	SampleInformation InjectionVolume	3		IRawDataPlus.SampleInformation	InjectionVolume					raw	high		
